Global Variable: .str.81, Size: 37 bytes, Declared in: [unknown]
Global Variable: .str.78, Size: 26 bytes, Declared in: [unknown]
Global Variable: .str.79, Size: 6 bytes, Declared in: [unknown]
Global Variable: .str.80, Size: 25 bytes, Declared in: [unknown]
Global Variable: .str.77, Size: 28 bytes, Declared in: [unknown]
Global Variable: .str.44, Size: 18 bytes, Declared in: [unknown]
Global Variable: .str.45, Size: 28 bytes, Declared in: [unknown]
Global Variable: .str.46, Size: 6 bytes, Declared in: [unknown]
Global Variable: .str.47, Size: 11 bytes, Declared in: [unknown]
Global Variable: .str.48, Size: 11 bytes, Declared in: [unknown]
Global Variable: .str.49, Size: 11 bytes, Declared in: [unknown]
Global Variable: .str.75, Size: 12 bytes, Declared in: [unknown]
Global Variable: .str.72, Size: 33 bytes, Declared in: [unknown]
Global Variable: .str.73, Size: 24 bytes, Declared in: [unknown]
Global Variable: .str.70, Size: 17 bytes, Declared in: [unknown]
Global Variable: .str.71, Size: 22 bytes, Declared in: [unknown]
Global Variable: .str.74, Size: 25 bytes, Declared in: [unknown]
Global Variable: .str.42, Size: 29 bytes, Declared in: [unknown]
Global Variable: .str.43, Size: 20 bytes, Declared in: [unknown]
Global Variable: .str.40, Size: 30 bytes, Declared in: [unknown]
Global Variable: .str.41, Size: 66 bytes, Declared in: [unknown]
Global Variable: .str.35, Size: 40 bytes, Declared in: [unknown]
Global Variable: .str.37, Size: 19 bytes, Declared in: [unknown]
Global Variable: .str.33, Size: 45 bytes, Declared in: [unknown]
Global Variable: .str.27, Size: 23 bytes, Declared in: [unknown]
Global Variable: stderr, Size: 8 bytes, Declared in: [unknown]
Global Variable: .str.31, Size: 10 bytes, Declared in: [unknown]
Global Variable: .str.50, Size: 11 bytes, Declared in: [unknown]
Global Variable: .str.51, Size: 11 bytes, Declared in: [unknown]
Global Variable: .str.52, Size: 11 bytes, Declared in: [unknown]
Global Variable: .str.53, Size: 11 bytes, Declared in: [unknown]
Global Variable: .str.54, Size: 11 bytes, Declared in: [unknown]
Global Variable: .str.55, Size: 11 bytes, Declared in: [unknown]
Global Variable: .str.56, Size: 11 bytes, Declared in: [unknown]
Global Variable: .str.57, Size: 5 bytes, Declared in: [unknown]
Global Variable: .str.58, Size: 16 bytes, Declared in: [unknown]
Global Variable: .str.59, Size: 23 bytes, Declared in: [unknown]
Global Variable: .str.60, Size: 24 bytes, Declared in: [unknown]
Global Variable: .str.61, Size: 22 bytes, Declared in: [unknown]
Global Variable: .str.62, Size: 30 bytes, Declared in: [unknown]
Global Variable: .str.63, Size: 28 bytes, Declared in: [unknown]
Global Variable: .str.64, Size: 28 bytes, Declared in: [unknown]
Global Variable: .str.65, Size: 29 bytes, Declared in: [unknown]
Global Variable: .str.66, Size: 30 bytes, Declared in: [unknown]
Global Variable: .str.67, Size: 28 bytes, Declared in: [unknown]
Global Variable: .str.68, Size: 26 bytes, Declared in: [unknown]
Global Variable: .str.69, Size: 25 bytes, Declared in: [unknown]
Global Variable: udpecho_raw_pcb, Size: 8 bytes, Declared in: [unknown]
Global Variable: tcpecho_raw_pcb, Size: 8 bytes, Declared in: [unknown]
Global Variable: .str.101, Size: 12 bytes, Declared in: [unknown]
Global Variable: .str.1.102, Size: 40 bytes, Declared in: [unknown]
Global Variable: .str.2.103, Size: 22 bytes, Declared in: [unknown]
Global Variable: ping_time, Size: 4 bytes, Declared in: [unknown]
Global Variable: ping_seq_num, Size: 2 bytes, Declared in: [unknown]
Global Variable: ping_target, Size: 8 bytes, Declared in: [unknown]
Global Variable: .str.104, Size: 18 bytes, Declared in: [unknown]
Global Variable: .str.1.105, Size: 26 bytes, Declared in: [unknown]
Global Variable: .str.2.106, Size: 12 bytes, Declared in: [unknown]
Global Variable: .str.3.107, Size: 31 bytes, Declared in: [unknown]
Global Variable: .str.4.108, Size: 12 bytes, Declared in: [unknown]
Global Variable: .str.5.109, Size: 24 bytes, Declared in: [unknown]
Global Variable: .str.6.110, Size: 12 bytes, Declared in: [unknown]
Global Variable: .str.7.111, Size: 2 bytes, Declared in: [unknown]
Global Variable: .str.8.112, Size: 10 bytes, Declared in: [unknown]
Global Variable: .str.10.113, Size: 12 bytes, Declared in: [unknown]
Global Variable: .str.11.114, Size: 8 bytes, Declared in: [unknown]
Global Variable: .str.12.115, Size: 12 bytes, Declared in: [unknown]
Global Variable: .str.13.116, Size: 30 bytes, Declared in: [unknown]
Global Variable: .str.9.117, Size: 21 bytes, Declared in: [unknown]
Global Variable: cmpbuf, Size: 8 bytes, Declared in: [unknown]
Global Variable: dstaddr, Size: 24 bytes, Declared in: [unknown]
Global Variable: .str.118, Size: 24 bytes, Declared in: [unknown]
Global Variable: .str.1.119, Size: 16 bytes, Declared in: [unknown]
Global Variable: .str.2.120, Size: 48 bytes, Declared in: [unknown]
Global Variable: .str.3.121, Size: 20 bytes, Declared in: [unknown]
Global Variable: .str.4.122, Size: 31 bytes, Declared in: [unknown]
Global Variable: .str.38.123, Size: 8 bytes, Declared in: [unknown]
Global Variable: .str.39.124, Size: 8 bytes, Declared in: [unknown]
Global Variable: .str.6.125, Size: 9 bytes, Declared in: [unknown]
Global Variable: .str.32.126, Size: 2 bytes, Declared in: [unknown]
Global Variable: .str.33.127, Size: 11 bytes, Declared in: [unknown]
Global Variable: .str.40.128, Size: 18 bytes, Declared in: [unknown]
Global Variable: .str.41.129, Size: 22 bytes, Declared in: [unknown]
Global Variable: .str.42.130, Size: 22 bytes, Declared in: [unknown]
Global Variable: .str.43.131, Size: 45 bytes, Declared in: [unknown]
Global Variable: .str.44.132, Size: 15 bytes, Declared in: [unknown]
Global Variable: .str.26.133, Size: 8 bytes, Declared in: [unknown]
Global Variable: .str.45.134, Size: 35 bytes, Declared in: [unknown]
Global Variable: .str.46.135, Size: 36 bytes, Declared in: [unknown]
Global Variable: .str.47.136, Size: 36 bytes, Declared in: [unknown]
Global Variable: .str.48.137, Size: 37 bytes, Declared in: [unknown]
Global Variable: .str.49.138, Size: 34 bytes, Declared in: [unknown]
Global Variable: .str.50.139, Size: 35 bytes, Declared in: [unknown]
Global Variable: .str.5.140, Size: 7 bytes, Declared in: [unknown]
Global Variable: .str.30.141, Size: 25 bytes, Declared in: [unknown]
Global Variable: .str.31.142, Size: 12 bytes, Declared in: [unknown]
Global Variable: .str.10.143, Size: 10 bytes, Declared in: [unknown]
Global Variable: .str.34.144, Size: 16 bytes, Declared in: [unknown]
Global Variable: .str.35.145, Size: 18 bytes, Declared in: [unknown]
Global Variable: .str.22.146, Size: 9 bytes, Declared in: [unknown]
Global Variable: .str.20.147, Size: 22 bytes, Declared in: [unknown]
Global Variable: .str.36.148, Size: 22 bytes, Declared in: [unknown]
Global Variable: .str.37.149, Size: 39 bytes, Declared in: [unknown]
Global Variable: .str.7.150, Size: 5 bytes, Declared in: [unknown]
Global Variable: .str.8.151, Size: 9 bytes, Declared in: [unknown]
Global Variable: .str.9.152, Size: 10 bytes, Declared in: [unknown]
Global Variable: .str.11.153, Size: 21 bytes, Declared in: [unknown]
Global Variable: .str.12.154, Size: 15 bytes, Declared in: [unknown]
Global Variable: .str.13.155, Size: 49 bytes, Declared in: [unknown]
Global Variable: .str.14.156, Size: 10 bytes, Declared in: [unknown]
Global Variable: .str.15.157, Size: 10 bytes, Declared in: [unknown]
Global Variable: .str.16.158, Size: 10 bytes, Declared in: [unknown]
Global Variable: .str.17.159, Size: 10 bytes, Declared in: [unknown]
Global Variable: .str.18.160, Size: 24 bytes, Declared in: [unknown]
Global Variable: .str.19.161, Size: 23 bytes, Declared in: [unknown]
Global Variable: .str.21.162, Size: 17 bytes, Declared in: [unknown]
Global Variable: .str.23.163, Size: 23 bytes, Declared in: [unknown]
Global Variable: .str.24.164, Size: 22 bytes, Declared in: [unknown]
Global Variable: .str.25.165, Size: 45 bytes, Declared in: [unknown]
Global Variable: .str.27.166, Size: 21 bytes, Declared in: [unknown]
Global Variable: .str.28.167, Size: 42 bytes, Declared in: [unknown]
Global Variable: .str.29.168, Size: 50 bytes, Declared in: [unknown]
Global Variable: rtp_recv_packet, Size: 1500 bytes, Declared in: [unknown]
Global Variable: rtp_send_packet, Size: 1500 bytes, Declared in: [unknown]
Global Variable: rtp_data, Size: 16300 bytes, Declared in: [unknown]
Global Variable: .str.169, Size: 16 bytes, Declared in: [unknown]
Global Variable: .str.1.170, Size: 16 bytes, Declared in: [unknown]
Global Variable: .str.2.171, Size: 10 bytes, Declared in: [unknown]
Global Variable: .str.4.172, Size: 59 bytes, Declared in: [unknown]
Global Variable: .str.5.173, Size: 70 bytes, Declared in: [unknown]
Global Variable: .str.6.174, Size: 34 bytes, Declared in: [unknown]
Global Variable: .str.3.175, Size: 28 bytes, Declared in: [unknown]
Global Variable: .str.176, Size: 88 bytes, Declared in: [unknown]
Global Variable: .str.177, Size: 5 bytes, Declared in: [unknown]
Global Variable: .str.1.178, Size: 6 bytes, Declared in: [unknown]
Global Variable: .str.2.179, Size: 6 bytes, Declared in: [unknown]
Global Variable: .str.4.180, Size: 7 bytes, Declared in: [unknown]
Global Variable: .str.5.181, Size: 29 bytes, Declared in: [unknown]
Global Variable: .str.3.182, Size: 39 bytes, Declared in: [unknown]
Global Variable: mqtt_ip, Size: 24 bytes, Declared in: [unknown]
Global Variable: mqtt_client_info, Size: 56 bytes, Declared in: [unknown]
Global Variable: mqtt_client, Size: 8 bytes, Declared in: [unknown]
Global Variable: .str.3.183, Size: 43 bytes, Declared in: [unknown]
Global Variable: .str.4.184, Size: 11 bytes, Declared in: [unknown]
Global Variable: .str.5.185, Size: 11 bytes, Declared in: [unknown]
Global Variable: .str.6.186, Size: 37 bytes, Declared in: [unknown]
Global Variable: .str.1.187, Size: 44 bytes, Declared in: [unknown]
Global Variable: .str.188, Size: 47 bytes, Declared in: [unknown]
Global Variable: .str.2.189, Size: 5 bytes, Declared in: [unknown]
Global Variable: pppos_netif, Size: 408 bytes, Declared in: [unknown]
Global Variable: ppp, Size: 8 bytes, Declared in: [unknown]
Global Variable: ppp_sio, Size: 8 bytes, Declared in: [unknown]
Global Variable: .str.190, Size: 36 bytes, Declared in: [unknown]
Global Variable: .str.1.191, Size: 54 bytes, Declared in: [unknown]
Global Variable: .str.2.192, Size: 16 bytes, Declared in: [unknown]
Global Variable: .str.25.193, Size: 3 bytes, Declared in: [unknown]
Global Variable: .str.26.194, Size: 5 bytes, Declared in: [unknown]
Global Variable: .str.24.195, Size: 24 bytes, Declared in: [unknown]
Global Variable: .str.27.196, Size: 18 bytes, Declared in: [unknown]
Global Variable: .str.28.197, Size: 9 bytes, Declared in: [unknown]
Global Variable: .str.29.198, Size: 12 bytes, Declared in: [unknown]
Global Variable: .str.30.199, Size: 18 bytes, Declared in: [unknown]
Global Variable: .str.3.200, Size: 34 bytes, Declared in: [unknown]
Global Variable: .str.4.201, Size: 22 bytes, Declared in: [unknown]
Global Variable: .str.5.202, Size: 22 bytes, Declared in: [unknown]
Global Variable: .str.6.203, Size: 22 bytes, Declared in: [unknown]
Global Variable: .str.7.204, Size: 22 bytes, Declared in: [unknown]
Global Variable: .str.8.205, Size: 22 bytes, Declared in: [unknown]
Global Variable: .str.9.206, Size: 22 bytes, Declared in: [unknown]
Global Variable: .str.10.207, Size: 22 bytes, Declared in: [unknown]
Global Variable: .str.11.208, Size: 34 bytes, Declared in: [unknown]
Global Variable: .str.12.209, Size: 33 bytes, Declared in: [unknown]
Global Variable: .str.13.210, Size: 35 bytes, Declared in: [unknown]
Global Variable: .str.14.211, Size: 34 bytes, Declared in: [unknown]
Global Variable: .str.15.212, Size: 33 bytes, Declared in: [unknown]
Global Variable: .str.16.213, Size: 36 bytes, Declared in: [unknown]
Global Variable: .str.17.214, Size: 37 bytes, Declared in: [unknown]
Global Variable: .str.18.215, Size: 37 bytes, Declared in: [unknown]
Global Variable: .str.19.216, Size: 37 bytes, Declared in: [unknown]
Global Variable: .str.20.217, Size: 40 bytes, Declared in: [unknown]
Global Variable: .str.21.218, Size: 40 bytes, Declared in: [unknown]
Global Variable: .str.22.219, Size: 37 bytes, Declared in: [unknown]
Global Variable: .str.23.220, Size: 40 bytes, Declared in: [unknown]
Global Variable: sensor_count, Size: 56 bytes, Declared in: [unknown]
Global Variable: sensor_table_oid_ranges, Size: 8 bytes, Declared in: [unknown]
Global Variable: sensor_table_columns, Size: 24 bytes, Declared in: [unknown]
Global Variable: sensor_table, Size: 80 bytes, Declared in: [unknown]
Global Variable: example_nodes, Size: 16 bytes, Declared in: [unknown]
Global Variable: example_node, Size: 24 bytes, Declared in: [unknown]
Global Variable: prvmib_base_oid, Size: 32 bytes, Declared in: [unknown]
Global Variable: sensors, Size: 280 bytes, Declared in: [unknown]
Global Variable: mib_private, Size: 24 bytes, Declared in: [unknown]
Global Variable: .str.221, Size: 44 bytes, Declared in: [unknown]
Global Variable: .str.1.222, Size: 7 bytes, Declared in: [unknown]
Global Variable: mibs, Size: 16 bytes, Declared in: [unknown]
Global Variable: .str.223, Size: 5 bytes, Declared in: [unknown]
Global Variable: .str.1.224, Size: 20 bytes, Declared in: [unknown]
Global Variable: .str.2.225, Size: 13 bytes, Declared in: [unknown]
Global Variable: .str.226, Size: 18 bytes, Declared in: [unknown]
Global Variable: .str.1.227, Size: 15 bytes, Declared in: [unknown]
Global Variable: full_filename, Size: 256 bytes, Declared in: [unknown]
Global Variable: tftp, Size: 40 bytes, Declared in: [unknown]
Global Variable: .str.7.228, Size: 20 bytes, Declared in: [unknown]
Global Variable: .str.8.229, Size: 5 bytes, Declared in: [unknown]
Global Variable: .str.9.230, Size: 1 bytes, Declared in: [unknown]
Global Variable: .str.10.231, Size: 3 bytes, Declared in: [unknown]
Global Variable: .str.11.232, Size: 3 bytes, Declared in: [unknown]
Global Variable: .str.233, Size: 12 bytes, Declared in: [unknown]
Global Variable: .str.1.234, Size: 19 bytes, Declared in: [unknown]
Global Variable: .str.2.235, Size: 38 bytes, Declared in: [unknown]
Global Variable: .str.3.236, Size: 24 bytes, Declared in: [unknown]
Global Variable: .str.4.237, Size: 9 bytes, Declared in: [unknown]
Global Variable: .str.5.238, Size: 22 bytes, Declared in: [unknown]
Global Variable: .str.6.239, Size: 16 bytes, Declared in: [unknown]
Global Variable: static_route_table, Size: 320 bytes, Declared in: [unknown]
Global Variable: snmp_device_enterprise_oid, Size: 8 bytes, Declared in: [unknown]
Global Variable: snmp_device_enterprise_oid_default, Size: 204 bytes, Declared in: [unknown]
